Site,Station,Region,Region2,Fjord,Fjord2,In/Out,Date,Time ,Depth [m],Volume [L],Latitude,Longitude,temperature [∞C],salinity [psu],density,O2umol.l,O sat. [%],Attenuation (optical beam transmission),Fluorometer,salinity [psu],PO4_umol.l,Si_umol.l,NO2_umol.l,NO3_umol.l,NH4_umol.l,Glacial influence,Bioclimatic_subzone
HE431.Prok.F02.05_S5,HE431.F02.05,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,24.08.2014,12:36,3m-30m,12.5,68.4528,14.5467,9.31,33.86,26.17,274.14,94.98,91.46,1.16,33.86,1.87,0.07,0.27,2.15,0.12,No,subarctic
HE431.Prok.F02.06_S6,HE431.F02.06,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,24.08.2014,16:57,3m-30m,12.5,68.549,14.4468,9.98,33.79,26.01,271.96,95.5,91.57,1.13,33.79,1.21,0.13,0.16,1.74,0.64,No,subarctic
HE431.Prok.F02.07_S7,HE431.F02.07,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,25.08.2014,06:07,3m-30m,12.5,68.7172,15.0842,8.71,33.88,26.39,286.53,96.48,92.44,0.86,33.88,0.75,0.14,0.19,1.41,0.6,No,subarctic
HE431.Prok.F02.08_S8,HE431.F02.08,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,25.08.2014,10:49,3m-30m,12.5,68.6763,14.9308,8.32,33.88,26.34,285.5,96.74,92.25,0.7,33.88,0.98,0.11,0.23,1.5,0.51,No,subarctic
HE431.Prok.F02.09_S9,HE431.F02.09,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,25.08.2014,14:42,3m-30m,12.5,68.6163,14.6773,9.07,33.86,26.21,279.2,96.18,91.35,1.34,33.86,1.77,0.13,0.22,4.33,0.38,No,subarctic
HE533.Prok.F02.2A_S1,HE533.F02.2A,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,23.05.2019,08:00,0-40 pooled,12,68.483,14.3071,6.55,34.1,26.77,311.92,101.64,94.23,0.61,34.1,0.17,1.36,0.06,1.16,0.59,No,subarctic
HE533.Prok.F02.2B_S2,HE533.F02.2B,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,23.05.2019,08:00,0-40 pooled,12,68.483,14.3071,6.55,34.1,26.77,311.92,101.64,94.23,0.61,34.1,0.17,1.36,0.06,1.16,0.59,No,subarctic
HE533.Prok.F02.2C_S3,HE533.F02.2C,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,23.05.2019,08:00,0-40 pooled,12,68.483,14.3071,6.55,34.1,26.77,311.92,101.64,94.23,0.61,34.1,0.17,1.36,0.06,1.16,0.59,No,subarctic
HE533.Prok.F02.3A_S5,HE533.F02.3A,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,23.05.2019,13:00,0-40 pooled,13,68.4797,14.9552,6.13,33.83,26.61,316.16,101.81,92.14,0.77,33.83,0.23,1.45,0.11,1.8,0.8,No,subarctic
HE533.Prok.F02.3B_S6,HE533.F02.3B,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,23.05.2019,13:00,0-40 pooled,13,68.4797,14.9552,6.13,33.83,26.61,316.16,101.81,92.14,0.77,33.83,0.23,1.45,0.11,1.8,0.8,No,subarctic
HE533.Prok.F02.3C_S7,HE533.F02.3C,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,23.05.2019,13:00,0-40 pooled,13,68.4797,14.9552,6.13,33.83,26.61,316.16,101.81,92.14,0.77,33.83,0.23,1.45,0.11,1.8,0.8,No,subarctic
HE533.Prok.F02.4A_S9,HE533.F02.4A,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,08:00,0-40 pooled,12,68.6792,15.433,5.45,33.88,26.73,309.01,97.96,90.96,0.99,33.88,0.27,1.46,0.12,2.4,0.81,No,subarctic
HE533.Prok.F02.4B_S10,HE533.F02.4B,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,08:00,0-40 pooled,12,68.6792,15.433,5.45,33.88,26.73,309.01,97.96,90.96,0.99,33.88,0.27,1.46,0.12,2.4,0.81,No,subarctic
HE533.Prok.F02.4C_S11,HE533.F02.4C,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,08:00,0-40 pooled,12,68.6792,15.433,5.45,33.88,26.73,309.01,97.96,90.96,0.99,33.88,0.27,1.46,0.12,2.4,0.81,No,subarctic
HE533.Prok.F02.5A_S13,HE533.F02.5A,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,13:00,0-40 pooled,12,68.9446,15.3878,6.05,33.94,26.71,316.4,101.9,90.37,1.48,33.94,0.15,1.7,0.05,0.92,0.59,No,subarctic
HE533.Prok.F02.5B_S14,HE533.F02.5B,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,13:00,0-40 pooled,12,68.9446,15.3878,6.05,33.94,26.71,316.4,101.9,90.37,1.48,33.94,0.15,1.7,0.05,0.92,0.59,No,subarctic
HE533.Prok.F02.5C_S15,HE533.F02.5C,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,13:00,0-40 pooled,12,68.9446,15.3878,6.05,33.94,26.71,316.4,101.9,90.37,1.48,33.94,0.15,1.7,0.05,0.92,0.59,No,subarctic
HE533.Prok.F02.6A_S17,HE533.F02.6A,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,18:00,0-40 pooled,12,69.1665,15.4146,6.36,34.24,26.9,304.68,98.92,94.9,0.56,34.24,0.3,1.73,0.16,3.69,0.72,No,subarctic
HE533.Prok.F02.6B_S18,HE533.F02.6B,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,18:00,0-40 pooled,12,69.1665,15.4146,6.36,34.24,26.9,304.68,98.92,94.9,0.56,34.24,0.3,1.73,0.16,3.69,0.72,No,subarctic
HE533.Prok.F02.6C_S19,HE533.F02.6C,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,18:00,0-40 pooled,12,69.1665,15.4146,6.36,34.24,26.9,304.68,98.92,94.9,0.56,34.24,0.3,1.73,0.16,3.69,0.72,No,subarctic
HE431.Prok.F02.13_S10,HE431.F02.13,South.Norway,South.Norway,Nordfjord,Nordfjord,0,28.08.2014,06:58,3m-30m,12.5,61.9697,4.6582,12.58,33.07,24.95,243.33,90.11,92.83,0.67,33.07,0.88,0.11,0.11,1.47,0.18,No,temperate
HE431.Prok.F02.14_S11,HE431.F02.14,South.Norway,South.Norway,Nordfjord,Nordfjord,3,28.08.2014,10:59,3m-30m,12.5,61.9252,5.4202,10.49,33.15,25.52,258.55,91.66,92.79,0.55,33.15,2.47,,0.24,2.32,0.67,No,temperate
